site,elevation,focal.species,background.species,pair,origin.focal,origin.background,origin.pair,type,surv.int,surv.slope,surv.sd.global,n.survival,growth.int,growth.slope,growth.slope.qudratic,growth.sd.global,n.growth,growth.sd,growth.sd.int,growth.sd.slope,n.growth.sd,flowering.int,flowering.slope,flowering.sd.global,n.flowering,fecundity.int,fecundity.slope,fecundity.sd.global,n.fecundity,germination.prob,germination.sd.global,n.germination,establishment.funiche.int,establishment.funiche.sd.global,n.establishment.funiche,establishment.comp.int,establishment.comp.sd.global,n.establishment.comp,seedling.size.mean,seedling.size.sd,n.seedling.size,L,U,n.size.range,pgr,comment,bootstrap
Solalex,1400,Trba,Anal,yes,Highland,Highland,Highland_Highland,Current,-0.214176052,0.419503368,0.913469755,11,0.033751708,0.566741846,NA,0.765640788,3,0.678709459,NA,NA,NA,2.470601469,2.195767175,NA,14,6.148419468,0.776160688,NA,3,0.047134935,NA,20,-1.386294361,NA,15,-1.918398244,NA,12,-3.424490788,1.234532159,58,-5.952243834,-0.05976062,14,0.335167307,NA,0
Solalex,1400,Trba,Armo,NA,Highland,Highland,Highland_Highland,Current,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Solalex,1400,Trba,Asal,NA,Highland,Highland,Highland_Highland,Current,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Solalex,1400,Trba,Plal,yes,Highland,Highland,Highland_Highland,Current,-1.631589542,0.419503368,0.913469755,8,0.18874213,0.566741846,NA,0.765640788,1,0.956034196,NA,NA,NA,1.612503936,2.195767175,NA,8,6.420658861,0.776160688,NA,1,0.047134935,NA,20,-1.386294361,NA,15,-1.986774315,NA,16,-3.424490788,1.234532159,58,-5.952243834,-0.05976062,8,0.120991648,NA,0
Solalex,1400,Trba,Poal,yes,Highland,Highland,Highland_Highland,Current,-0.168997462,0.419503368,0.913469755,10,0.59992449,0.566741846,NA,0.765640788,1,0.524399421,NA,NA,NA,1.791611792,2.195767175,NA,11,6.44068435,0.776160688,NA,1,0.047134935,NA,20,-1.386294361,NA,15,-1.42752463,NA,18,-3.424490788,1.234532159,58,-5.952243834,-0.05976062,11,0.321007111,NA,0
Solalex,1400,Trba,Seca,no,Highland,Highland,Highland_Highland,Current,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Solalex,1400,Trba,Trba,yes,Highland,Highland,Highland_Highland,Current,-1.982687251,0.419503368,0.913469755,9,-1.345497949,0.566741846,NA,0.765640788,0,0.588293068,NA,NA,NA,-0.104638417,2.195767175,NA,9,5.011716919,0.776160688,NA,0,0.047134935,NA,20,-1.386294361,NA,15,-2.254304152,NA,15,-3.424490788,1.234532159,58,-5.952243834,-0.05976062,9,0.041940357,NA,0
Solalex,1400,Trba,Brer,NA,Highland,Lowland,Lowland_Highland,Novel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Solalex,1400,Trba,Crbi,yes,Highland,Lowland,Lowland_Highland,Novel,-0.748243838,0.419503368,0.913469755,9,0.513761672,0.566741846,NA,0.765640788,1,0.663086965,NA,NA,NA,1.796874149,2.195767175,NA,12,6.24621199,0.776160688,NA,0,0.047134935,NA,20,-1.386294361,NA,15,-0.446135984,NA,16,-3.424490788,1.234532159,58,-5.952243834,-0.05976062,12,0.293816874,NA,0
Solalex,1400,Trba,Daca,NA,Highland,Lowland,Lowland_Highland,Novel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
